;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
MAYAGUEZ;0.057640613240238586;0.04705054741208914;0.036793426376753355;0.07069689195188412;0.04737864937155278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0400441782629522;0.04107085893315578;0.012093765583329693;0.0;0.04731206041299005;0.01520165388570303;0.03840972200732149;0.08483467103644525;0.009464107074270513;0.0;0.012132508250129828;0.0;0.0;0.021243088489849103;0.017623070560711482;0.008629693759603378;0.028909293682925854;0.08288498229032723;0.01168817829026577;0.00034815870466394725;0.028302728805836234;0.04338694398280135;0.020527559862384113;0.0;0.014209517266350707;0.0026413640393837005;0.014702842050651291;0.016983816558509245;0.039387974344024905;0.03564446416446185;0.05276266934843406
PROVIDENCIA;0.06028906286339367;0.04625936102062193;0.03267074389338262;0.0775859994899457;0.04669402995847389;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03697733466139932;0.038337479529659345;9.320424545337659e-05;0.0;0.0466058130153674;0.0;0.03481200969424008;0.0824158540421516;0.006419442405601591;0.029187491990260158;0.0;0.0;0.0;0.012069681761387598;0.007273887945234925;0.03460207612456748;0.022225857829574494;0.081192548320576;0.0010689361900434744;0.029405939440541522;0.021422281675095394;0.04140582520534499;0.011121750609097892;0.0;0.038103060594410085;0.03084477997972807;0.0034051740039104128;0.006427005291412634;0.03610799678569538;0.031148600638690675;0.05382677079473843
RISARALDA;0.0;0.0;0.035733011068415206;0.0;0.053617927244918186;0.0;0.0;0.0;0.09114699875059402;0.0991556281490853;0.0;0.060560785017199005;0.0;0.04296021098281358;0.0;0.0;0.0;0.001649497810970897;0.0;0.0;0.0;0.0;0.0;0.0;0.03202838071319996;0.0;0.0;0.0;0.0;0.13870654133402008;0.01472830285861449;0.05857519958794747;0.021387029466469025;0.04687349528404316;0.008250013375252946;0.055454900220613;0.07203257790368271;0.06080157095029615;0.0035063095544681983;0.0;0.040116789561637875;0.0;0.06271483016575873
GPC;0.0;0.02580405181464568;0.004544504311613671;0.07481493735309214;0.026484096358238885;0.07335447268751559;0.0;0.10006692348659205;0.0725213553868774;0.08234561512181253;0.0;0.03500096418464242;0.0;0.013410177272922931;0.0;0.0;0.0;0.03170318709727969;0.0;0.0;0.0;0.0;0.0;0.030979017685958194;0.0;0.0;0.0;0.0;0.0;0.09187454220027992;0.037445098659178576;0.056694946207667254;0.010292702944520315;0.018210639309431453;0.022999303926778958;0.028737528093097577;0.06260306058527926;0.05767237705245637;0.032518372336253626;0.0;0.0099221259238655;0.0;0.0
PROGEN;0.048573505930656936;0.034440769464720196;0.020752357055961075;0.06599747186739659;0.034878630626520676;0.0;0.0;0.0;0.0;0.0;0.081742700729927;0.0;0.025090575577858883;0.026460709397810218;0.017644333090869897;0.0;0.03478976581508516;0.0;0.022909348388077858;0.08363605341379529;0.022715590398448244;0.04096698007309825;0.017569618434404657;0.0;0.0;0.0;0.006981150713471075;0.04530743464712592;0.010230763381995139;0.082655423547689;0.018426502150740418;0.041142092549188665;0.009421285736009736;0.029551589111922138;0.0013798863115924399;0.036329550638686134;0.0;0.042295500058370836;0.012612767944538732;0.0;0.024214853254257904;0.019219035127737233;0.042063754562043795
BIOENERGY;0.060987180884248524;0.0;0.029215835843076;0.08088509510249606;0.04534783361849683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034170017934692716;0.03573469071446589;0.012031454168534713;0.0;0.04524635130377098;0.0;0.031679088391421736;0.08649106017235893;0.017753442006077407;0.03834680246927772;0.011947152321941086;0.0;0.0;0.005516947655096441;0.0;0.043244212869826444;0.017200329779534826;0.08538459843581754;0.012913989125061802;0.03854438492223155;0.01627591814903204;0.039264430133930606;0.004426474055042264;0.04700476304802079;0.0;0.039845794679020705;0.006354251686994914;0.0;0.03316995585139429;0.027464804630806257;0.05355314004733092
ASOCAÑA;0.06316929041222812;0.05199960934091414;0.0411810957892768;0.07694016507474666;0.05234566896939546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.044609767754119366;0.04569264068752216;0.01512957372046735;0.0;0.05227543546546013;0.0;0.04288585447570689;0.0349295918497619;0.012355988801421504;0.002373892433013909;0.015170436850029717;0.0;0.0;0.024779657161180683;0.020961508492696786;0.0;0.032865448923334574;0.034035925391617414;0.014701787832861283;0.0022781194731021012;0.03222568555112373;0.04813548965167256;0.024024966237075673;0.05349239054273946;0.0;0.0016472949104830276;0.017881450101933174;0.0;0.04391764849715672;0.03996924860319277;0.058024367005766006
PROCAÑA;0.059085303012384065;0.037307074305236304;0.01621353896661098;0.08593524223473246;0.03798180849748931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02289863603745718;0.02500998140657359;0.026147852245149584;0.02434520639059;0.0;0.0;0.019537414046528916;0.07935851506154444;0.03023692525807097;0.044953446317926554;0.02608760807553012;0.0;0.0;0.01192081506345218;0.01754987966227118;0.0484532560467575;0.0;0.07856781033528892;0.026778533395853402;0.04509464359047219;0.0009431977806047939;0.029772957457422297;0.013033449571111718;0.04021764356997345;0.0;0.04602466295897271;0.022090783947338564;0.0;0.021549167652951156;0.013850724396691782;0.04905392271501373
CIAMSA;0.0;0.0;0.04257216169574478;0.0;0.05028712510554675;0.06676889184102446;0.0755930522090926;0.0;0.06647592971680458;0.0;0.0;0.053282045134469096;0.0;0.0;0.024569992128848955;0.04545413247195584;0.05023859222352238;0.026835154095332044;0.04375018710488188;0.035714285714285705;0.022653384496904547;0.015755538337185678;0.02459822944202677;0.027158118364803335;0.04097410625308764;0.031238410118998042;0.028599986168945674;0.01411512692476181;0.0368258684640588;0.0;0.02427438275651866;0.015689357134425163;0.0;0.0;0.03071690224124522;0.051079534706599275;0.013054462848520014;0.015253443612242602;0.026471598688167636;0.0;0.0;0.0;0.0
TECNICAÑA;0.06080479239914729;0.0;0.03321955408216884;0.0;0.047226043344341;0.07714863358097052;0.09316886606658434;0.0;0.07661676186244813;0.08288868288056596;0.0;0.052663310249958344;0.0;0.0;0.0005366777882680752;0.0;0.0;0.00464907146732514;0.03535825511899828;0.06887206549615309;0.004529986190570132;0.023806470704280918;0.0005879425322220374;0.005235411976298606;0.030318289979024172;0.012643167477646431;0.007853117964447908;0.028390708226474645;0.022787178687537112;0.06783635825606628;0.0;0.0;0.0;0.041944172693834124;0.011696371737746658;0.048664660221549125;0.03135480370881831;0.025209607417636604;0.003989037888917848;0.0;0.0;0.0;0.0
TERPEL;0.040523475699687374;0.0;0.02589018721564835;0.0;0.03332028427215297;0.049193480294272784;0.05769181845795187;0.05823996126950917;0.04891133546723862;0.05223843485831899;0.05796971411590418;0.03620462024490566;0.028171991012596185;0.02889265008887617;0.008552727527926641;0.028665744459905936;0.03327354341225274;0.010734250934543062;0.027024715360499506;0.06128837595232707;0.006706888478775537;6.373753622759559e-05;0.008579922210050413;0.011045290111333718;0.024351138174206064;0.014974921678218922;0.012433918567278879;0.006007607840601721;0.020356069403460526;0.05987402881496568;0.0;0.0;0.019930302661460203;0.03051838217958798;0.014472669892745491;0.03408343503925136;0.010055334648002675;0.0016635416329917165;0.010384119402199483;0.0;0.027711381084124773;0.0;0.0
FEDEPETROLEO;0.030797849848822327;0.019680781813676697;0.008913227178515643;0.04450385895949004;0.020025211382388764;0.04376416150934087;0.056473739690598025;0.05729350748328911;0.04334220351372313;0.04831800337168531;0.056889342897125134;0.024338842217107446;0.012325748920183186;0.01340352114995379;0.020326849093439937;0.013064175412514223;0.019955308702391848;0.016429402004788887;0.01060995586571347;0.06323976086345687;0.023624572146244815;0.03549303490120597;0.020278263855092907;0.015873708341194694;0.006611522569889971;0.00885314140004843;0.013392824608099317;0.038315533591428926;0.0006367498668809851;0.0;0.0;0.035606906553581834;0.0;0.015834863456028282;0.009750450020770192;0.02116653150306566;0.04014051660683936;0.03635694117056415;0.01705493694850694;0.0;0.011636889782759044;0.0;0.02567716079959382
MINMINAS;0.0;0.0;0.008112773933487524;0.0;0.010484811810371144;0.06988284486894326;0.0;0.0;0.06882704944248187;0.0;0.0;0.021278093971244572;0.004112994643841177;0.002849749639140953;0.038503648156234326;0.0032474930545359545;0.010309905941529649;0.03467965060073259;0.006124056856512527;0.08060784251100693;0.041739223805065576;0.05338401885428923;0.03845597853341545;0.03413442928974169;0.010810576649893313;0.027246168792414052;0.03170029917455281;0.05615332600492332;0.01781354217712888;0.0;0.03900268952011945;0.05349574453277097;0.018559869709386913;0.0;0.028126567138850173;0.013340547632546858;0.05794391621205738;0.05423164433503737;0.035293396994525626;0.0;0.004920398880335901;0.0;0.024626746332882667
MINCIENCIAS;0.02949233983797131;0.021076815059386616;0.012925868915089208;0.03986767071853118;0.021337545277175168;0.039307726117966846;0.048928767364776825;0.04954932452519606;0.038988307548572756;0.04275494519669886;0.04924337541354751;0.024602926676342476;0.015509118489857684;0.01632498278758717;0.012679785584934966;0.016068100986297344;0.02128462955031771;0.008007231809952473;0.014210277921538337;0.064127023565498;0.016633344914604626;0.030862153975390827;0.012621537933669116;0.0073410242985993005;0.01118349834529192;0.0005686035376864668;0.0043667536058367715;0.03424597846611636;0.006660646855166549;0.06336252314263371;0.013289565684124358;0.03099867190804517;0.0061786326887013675;0.018165487978101916;0.0;0.022201514781138708;0.0364339058667899;0.03189787002446173;0.008757170320000307;0.005327839851723326;0.014987658054280581;0.012012832100766941;0.025616022319631563
DNP;0.013414098787810127;0.0017693891142459336;0.014592541018344736;0.03250325705222613;0.0013592056668886667;0.03147303727200634;0.04917440806616065;0.050316146482383604;0.03088535176164042;0.037815438427551834;0.0;0.00441826215022091;0.010528546346188777;0.009245020282133563;0.0;0.009649149361264157;0.0014424532300054548;0.041585941756977655;0.0;0.0;0.0;0.0;0.0;0.04103196706423685;0.017333656232972092;0.034033117394199924;0.038558757643639884;0.06340437125385966;0.02444905249137253;0.08761578979233516;0.045978385905430776;0.06070412302476238;0.02520736211176364;0.006349518677725986;0.03492765029969123;0.0;0.06522370890597567;0.0614518375007568;0.042209541684325246;0.0;0.011348913240903319;0.0;0.0
MADR;0.0;0.0;0.06184369363031432;0.0;0.07800761738176683;0.11253921612700646;0.0;0.0;0.0;0.0;0.0;0.08428239231170274;0.0;0.0;0.0;0.0;0.0;0.028872469086861946;0.06431182107034508;0.048285536555331285;0.020111078870902483;0.005659129658377694;0.024185800127702377;0.02954912425019622;0.058495544721029115;0.0;0.0;0.0;0.0;0.046952558682763976;0.023507296179768808;0.00552047081343214;0.048878167235605806;0.07191217455796046;0.037005272539068226;0.07966782595191486;0.0;0.004607171221390798;0.0;0.0;0.06580563902655848;0.0;0.0
